link,job,company,salary,area,experience,education,companytype,direction
https://jobs.51job.com/chengdu-whq/141149984.html?s=sou_sou_soulb&t=0_0,抖音主播,四川光良酒业有限公司,7千-1万,成都-武侯区,1年经验,大专,民营,快速消费品(食品、饮料、化妆品)
https://jobs.51job.com/changsha/144414349.html?s=sou_sou_soulb&t=0_0,电商主播,三诺生物传感股份有限公司,6-8千,长沙,1年经验,大专,民营,医疗设备/器械
https://jobs.51job.com/guangzhou/144309649.html?s=sou_sou_soulb&t=0_0,线上语音主播/配音/不露脸,河北云昭网络科技有限公司,1-1.2万,广州,无需经验,无学历要求,民营,影视/媒体/艺术/文化传播
https://jobs.51job.com/changsha-ylq/144259259.html?s=sou_sou_soulb&t=0_0,抖音自播主播(T3068),安克创新科技股份有限公司,6千-1万,长沙-岳麓区,2年经验,本科,民营,互联网/电子商务
https://jobs.51job.com/shantou/144386239.html?s=sou_sou_soulb&t=0_0,主播推广,海霸王（汕头）食品有限公司重庆营业处,6-8千,汕头,1年经验,中技/中专,民营,快速消费品(食品、饮料、化妆品)
https://jobs.51job.com/guangzhou-zcq/134011914.html?s=sou_sou_soulb&t=0_0,主播,广州市为众控股有限公司,8千-1.5万,广州-增城区,1年经验,中技/中专,民营,汽车
https://jobs.51job.com/huizhou/144372682.html?s=sou_sou_soulb&t=0_0,电商主播,广东穗康医药有限公司,3-6千,惠州,1年经验,中技/中专,民营,批发/零售
https://jobs.51job.com/jiamusi/144134458.html?s=sou_sou_soulb&t=0_0,游戏主播,同江市艺创文化传媒有限公司,6千-1.2万,佳木斯,无需经验,无学历要求,民营,影视/媒体/艺术/文化传播
https://jobs.51job.com/nanjing-jnq/140731021.html?s=sou_sou_soulb&t=0_0,服装穿搭主播,南京诗梦服装设计有限公司,1-1.5万,南京-江宁区,1年经验,无学历要求,民营,服装/纺织/皮革
https://jobs.51job.com/guangzhou-byq/135205998.html?s=sou_sou_soulb&t=0_0,抖音主播（金利来鞋品+五险一金）,广东海华优品电子商务有限公司,8千-1.5万,广州-白云区,1年经验,中技/中专,民营,互联网/电子商务
https://jobs.51job.com/shaoxing-ycq/144429837.html?s=sou_sou_soulb&t=0_0,直播主播（日用品）,杭州锐智房地产咨询代理有限公司,5千-1万,绍兴-越城区,1年经验,大专,民营,房地产
https://jobs.51job.com/baoding/139709831.html?s=sou_sou_soulb&t=0_0,不露脸语音主播,霸州市铸煌文化传媒有限公司,2-2.5万,保定,无需经验,无学历要求,合资,影视/媒体/艺术/文化传播
https://jobs.51job.com/wuhan-dhxjs/144313567.html?s=sou_sou_soulb&t=0_0,汽车主播/直播,武汉市浩田汽车销售服务有限公司,4-7千,武汉-东湖新技术产业开发区,1年经验,中技/中专,民营,汽车
https://jobs.51job.com/shantou/142962764.html?s=sou_sou_soulb&t=0_0,抖音主播,汕头市恒田网络科技有限公司,4-8千,汕头,1年经验,中技/中专,民营,互联网/电子商务
https://jobs.51job.com/xian/140119955.html?s=sou_sou_soulb&t=0_0,抖音主播,陕西硒谷产业发展有限公司,5-8千,西安,无需经验,大专,国企,快速消费品(食品、饮料、化妆品)
https://jobs.51job.com/shenzhen-nsq/141396355.html?s=sou_sou_soulb&t=0_0,高薪高提成抖音主播（无经验）,深圳市一骑绝尘服饰有限公司,1.7-2万,深圳-南山区,1年经验,大专,民营,互联网/电子商务
https://jobs.51job.com/shenzhen-luohuqu/106243657.html?s=sou_sou_soulb&t=0_0,珠宝淘宝主播,深圳赛菲尔珠宝首饰有限公司,6-8千,深圳-罗湖区,2年经验,无学历要求,民营,奢侈品/收藏品/工艺品/珠宝
https://jobs.51job.com/guangzhou-lwq/135950081.html?s=sou_sou_soulb&t=0_0,主播助理,启泰健康药业连锁有限公司,5-8千,广州-荔湾区,1年经验,大专,合资,快速消费品(食品、饮料、化妆品)
https://jobs.51job.com/shantou-lhq/137415428.html?s=sou_sou_soulb&t=0_0,抖音主播（可线上在家上班）,汕头市热度传媒有限公司,1-2万,汕头-龙湖区,无需经验,无学历要求,创业公司,娱乐/休闲/体育
https://jobs.51job.com/guangzhou/142847911.html?s=sou_sou_soulb&t=0_0,抖音直播主播,广州市畅顺物流有限公司,6千-1.2万,广州,1年经验,大专,民营,交通/运输/物流
https://jobs.51job.com/guangzhou-lwq/143351569.html?s=sou_sou_soulb&t=0_0,主播,广东省洛神珠宝有限公司,8千-1.2万,广州-荔湾区,无需经验,无学历要求,民营,奢侈品/收藏品/工艺品/珠宝
https://jobs.51job.com/suzhou/138083845.html?s=sou_sou_soulb&t=0_0,直播主播,苏州今蓝纳米科技有限公司,6千-1万·13薪,苏州,2年经验,中技/中专,民营,原材料和加工
https://jobs.51job.com/foshan-ccq/144413108.html?s=sou_sou_soulb&t=0_0,电商主播（五险一金）,广州柏曼光电科技有限公司,5-8千,佛山-禅城区,1年经验,大专,民营,互联网/电子商务
https://jobs.51job.com/hangzhou-lpq/121813669.html?s=sou_sou_soulb&t=0_0,女装主播（高薪）,杭州梵茜服饰有限公司,1-1.5万,杭州-临平区,1年经验,高中,民营,服装/纺织/皮革
https://jobs.51job.com/chengdu-whq/142434987.html?s=sou_sou_soulb&t=0_0,汽车主播,千城数智（重庆）网络科技有限公司,6千-1.2万,成都-武侯区,3-4年经验,大专,民营,公关/市场推广/会展
https://jobs.51job.com/ningbo/140956425.html?s=sou_sou_soulb&t=0_0,音频不露脸主播,石家庄纪国文化传媒有限公司,9千-1.2万,宁波,无需经验,大专,民营,影视/媒体/艺术/文化传播
https://jobs.51job.com/dongguan-wjq/137181995.html?s=sou_sou_soulb&t=0_0,淘宝主播,广东范迪慕体育用品有限公司,5千-1万,东莞-万江区,无需经验,无学历要求,民营,服装/纺织/皮革
https://jobs.51job.com/guangzhou-thq/138104288.html?s=sou_sou_soulb&t=0_0,抖音主播,广州阿隆索智能科技有限公司,6千-1万,广州-天河区,1年经验,高中,民营,家具/家电/玩具/礼品
https://jobs.51job.com/jiangmen/143029271.html?s=sou_sou_soulb&t=0_0,主播/主持人（拍视频）,江门市璟睿房地产顾问有限公司,6千-1.2万,江门,1年经验,大专,民营,房地产
https://jobs.51job.com/guangzhou/144420573.html?s=sou_sou_soulb&t=0_0,语音主播,霸州市铸煌文化传媒有限公司,500元/天,广州,无需经验,无学历要求,合资,影视/媒体/艺术/文化传播
https://jobs.51job.com/shenzhen-nsq/144417175.html?s=sou_sou_soulb&t=0_0,淘宝主播 （服饰类）,深圳市乐承服饰有限公司,1.2-2.4万,深圳-南山区,1年经验,中技/中专,民营,服装/纺织/皮革
https://jobs.51job.com/guangzhou-thq/133142279.html?s=sou_sou_soulb&t=0_0,电商主播,广州华研文化传播有限公司,6-8千,广州-天河区,1年经验,中技/中专,民营,文字媒体/出版
https://jobs.51job.com/changshu/140869769.html?s=sou_sou_soulb&t=0_0,女装主播,苏州市长楷茂服装贸易有限公司,8千-1.5万,常熟,1年经验,高中,民营,服装/纺织/皮革
https://jobs.51job.com/shenzhen-ftq/137006578.html?s=sou_sou_soulb&t=0_0,品牌主播,紫红泥酒业有限公司,8千-1.5万,深圳-福田区,1年经验,大专,民营,快速消费品(食品、饮料、化妆品)
https://jobs.51job.com/dongguan-ncq/130909463.html?s=sou_sou_soulb&t=0_0,电商主播（直播）,东莞市宝玺服装有限公司,7千-1.4万,东莞-南城区,1年经验,中技/中专,民营,服装/纺织/皮革
